epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,452,1.18915,1.64886,1.9909,0.70458,0.62021,0.66466,0.41525,1.10664,1.04158,1.67099,0.0667837,6.65657e-05,6.65657e-05
2,892.149,1.12415,1.5907,1.88678,0.67915,0.62649,0.65655,0.37416,1.25183,1.09935,1.80841,0.0335144,0.000130594,0.000130594
3,1329.58,1.10429,1.54924,1.8583,0.67737,0.63361,0.66266,0.38616,1.21166,1.08567,1.77072,0.000242488,0.000191983,0.000191983
4,1767.3,1.09411,1.53081,1.85489,0.69583,0.6109,0.66457,0.38524,1.237,1.09717,1.79514,0.00018812,0.00018812,0.00018812
5,2201.21,1.08866,1.50189,1.83165,0.69413,0.63085,0.66526,0.38376,1.24258,1.08798,1.79844,0.00018416,0.00018416,0.00018416
6,2631.88,1.08431,1.49136,1.83588,0.69433,0.62277,0.66185,0.37209,1.28469,1.09284,1.84025,0.0001802,0.0001802,0.0001802
7,3064.88,1.07685,1.49414,1.8268,0.6797,0.63687,0.66676,0.3682,1.29985,1.0883,1.85265,0.00017624,0.00017624,0.00017624
8,3496.44,1.07575,1.48677,1.8166,0.67474,0.61654,0.65875,0.37144,1.28732,1.09356,1.84164,0.00017228,0.00017228,0.00017228
9,3927.78,1.06649,1.46795,1.8098,0.67269,0.60922,0.64597,0.34854,1.3378,1.14707,1.89884,0.00016832,0.00016832,0.00016832
10,4362.48,1.06223,1.43893,1.79791,0.69781,0.62519,0.6628,0.37728,1.27011,1.07786,1.81996,0.00016436,0.00016436,0.00016436
11,4794.82,1.0673,1.45988,1.82206,0.68385,0.6221,0.66381,0.36888,1.30471,1.0832,1.8599,0.0001604,0.0001604,0.0001604
12,5229.54,1.06416,1.4697,1.80167,0.6756,0.6252,0.66118,0.36601,1.3132,1.10682,1.87278,0.00015644,0.00015644,0.00015644
13,5663.65,1.05935,1.45228,1.79775,0.68677,0.61614,0.66558,0.37234,1.29452,1.08944,1.85094,0.00015248,0.00015248,0.00015248
14,6099.08,1.05778,1.4466,1.79783,0.70265,0.61068,0.65743,0.35549,1.33482,1.10536,1.89556,0.00014852,0.00014852,0.00014852
15,6534.06,1.05688,1.43233,1.79206,0.69632,0.61035,0.65206,0.35022,1.34751,1.14629,1.90789,0.00014456,0.00014456,0.00014456
16,6968.51,1.05798,1.44803,1.80197,0.68128,0.61179,0.65173,0.35842,1.32404,1.09946,1.88411,0.0001406,0.0001406,0.0001406
17,7406.84,1.05454,1.44769,1.79244,0.69653,0.6032,0.6593,0.36746,1.31303,1.07578,1.87461,0.00013664,0.00013664,0.00013664
18,7845.79,1.05352,1.44708,1.7951,0.6966,0.61736,0.6607,0.37221,1.29142,1.08828,1.84907,0.00013268,0.00013268,0.00013268
19,8281.46,1.05249,1.43817,1.79647,0.68627,0.62953,0.66243,0.36605,1.31972,1.08621,1.87873,0.00012872,0.00012872,0.00012872
20,8718.28,1.04372,1.41898,1.78369,0.68148,0.63275,0.6602,0.36703,1.30672,1.07526,1.86852,0.00012476,0.00012476,0.00012476
21,9155.62,1.05051,1.41989,1.77948,0.6944,0.60734,0.66262,0.37113,1.29936,1.08825,1.85905,0.0001208,0.0001208,0.0001208
22,9591.34,1.04354,1.42729,1.78431,0.69245,0.60995,0.65685,0.35871,1.31962,1.09648,1.88427,0.00011684,0.00011684,0.00011684
23,10027.6,1.03448,1.43403,1.77376,0.70318,0.61584,0.66734,0.37672,1.28175,1.07498,1.84338,0.00011288,0.00011288,0.00011288
24,10464.9,1.03538,1.39251,1.77776,0.69064,0.6333,0.66629,0.37853,1.27805,1.05487,1.83751,0.00010892,0.00010892,0.00010892
