epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.954,0.82968,1.01317,1.28045,0.69997,0.59062,0.66894,0.54674,0.68427,0.95698,1.24237,0.000332828,0.000332828,0.000332828
2,893.099,0.89449,1.12789,1.32087,0.62563,0.60996,0.64556,0.51235,0.75648,0.99539,1.30948,0.000659567,0.000659567,0.000659567
3,1328.19,0.91791,1.20218,1.34137,0.63012,0.56178,0.62589,0.48715,0.79594,1.08775,1.38857,0.000979705,0.000979705,0.000979705
4,1773.04,0.93112,1.22652,1.34732,0.59694,0.57463,0.64122,0.50264,0.78819,1.08268,1.35307,0.0009703,0.0009703,0.0009703
5,2213.25,0.93949,1.24127,1.35465,0.6549,0.52301,0.61999,0.4733,0.81998,1.15278,1.38689,0.0009604,0.0009604,0.0009604
6,2657,0.94892,1.24409,1.35959,0.60741,0.56474,0.61448,0.48762,0.73573,1.12885,1.30198,0.0009505,0.0009505,0.0009505
7,3099.04,0.94882,1.24717,1.35948,0.61415,0.559,0.63496,0.50048,0.77861,1.03114,1.33739,0.0009406,0.0009406,0.0009406
8,3541.27,0.94627,1.23666,1.36577,0.59358,0.59083,0.60036,0.47031,0.78347,1.14637,1.35814,0.0009307,0.0009307,0.0009307
9,3985.93,0.92491,1.20717,1.34263,0.63813,0.57629,0.63239,0.49382,0.7435,1.10784,1.30767,0.0009208,0.0009208,0.0009208
10,4428.96,0.93716,1.20696,1.35576,0.68068,0.56012,0.64912,0.51194,0.74417,1.03161,1.29409,0.0009109,0.0009109,0.0009109
11,4871.77,0.92157,1.17994,1.34538,0.64566,0.56546,0.62996,0.49247,0.76229,1.08166,1.32394,0.000901,0.000901,0.000901
12,5313.2,0.90648,1.17715,1.33214,0.60625,0.55969,0.61168,0.4764,0.78677,1.08097,1.37846,0.0008911,0.0008911,0.0008911
13,5753.27,0.93219,1.1912,1.34682,0.61354,0.55385,0.59113,0.46957,0.71427,1.13087,1.27931,0.0008812,0.0008812,0.0008812
14,6194.95,0.90897,1.16652,1.32686,0.63794,0.58849,0.63927,0.51145,0.7322,1.01786,1.30178,0.0008713,0.0008713,0.0008713
15,6635.2,0.90402,1.15636,1.32863,0.64838,0.5873,0.64455,0.51532,0.71186,1.01767,1.2807,0.0008614,0.0008614,0.0008614
16,7072.46,0.89334,1.15723,1.32651,0.63371,0.58372,0.63527,0.49907,0.73337,1.04999,1.29888,0.0008515,0.0008515,0.0008515
17,7507.7,0.90414,1.13842,1.32602,0.64268,0.6014,0.647,0.51422,0.74693,1.05144,1.30898,0.0008416,0.0008416,0.0008416
18,7949.82,0.90187,1.12398,1.33089,0.62305,0.60099,0.64422,0.51981,0.71238,1.04741,1.282,0.0008317,0.0008317,0.0008317
19,8386.09,0.89929,1.13361,1.33023,0.67006,0.5579,0.65185,0.51523,0.72641,0.99015,1.28718,0.0008218,0.0008218,0.0008218
20,8824.53,0.88319,1.09625,1.31841,0.6561,0.58356,0.63209,0.50558,0.73168,1.03216,1.29084,0.0008119,0.0008119,0.0008119
21,9260.15,0.88251,1.09236,1.31534,0.65992,0.60479,0.65959,0.52453,0.72328,1.02079,1.28277,0.000802,0.000802,0.000802
22,9696.7,0.89083,1.09133,1.31398,0.66761,0.60509,0.66469,0.53353,0.71136,0.89452,1.27031,0.0007921,0.0007921,0.0007921
23,10136.9,0.8702,1.08715,1.31662,0.65809,0.58679,0.64441,0.50345,0.74765,0.98593,1.30081,0.0007822,0.0007822,0.0007822
24,10578,0.88358,1.07276,1.31885,0.65839,0.60232,0.64778,0.5223,0.7113,1.00955,1.28029,0.0007723,0.0007723,0.0007723
25,11020.4,0.86622,1.06223,1.30913,0.63393,0.59835,0.64927,0.51637,0.70374,0.99866,1.26973,0.0007624,0.0007624,0.0007624
26,11459.8,0.85288,1.03846,1.29215,0.65422,0.57905,0.63364,0.50998,0.72723,0.99479,1.28844,0.0007525,0.0007525,0.0007525
27,11899.9,0.8813,1.06457,1.31826,0.63341,0.57821,0.62082,0.50399,0.70739,1.05358,1.26968,0.0007426,0.0007426,0.0007426
28,12336.8,0.85532,1.0576,1.30023,0.65299,0.59198,0.65582,0.526,0.71451,0.95763,1.27974,0.0007327,0.0007327,0.0007327
29,12773.3,0.8618,1.02749,1.2964,0.67964,0.59668,0.66631,0.53202,0.70547,0.97369,1.26382,0.0007228,0.0007228,0.0007228
30,13209.5,0.86299,1.02518,1.30041,0.64866,0.62201,0.65889,0.53464,0.71716,0.91314,1.27948,0.0007129,0.0007129,0.0007129
31,13646.3,0.86167,1.03894,1.30622,0.69209,0.58874,0.66916,0.5371,0.69953,0.93343,1.25021,0.000703,0.000703,0.000703
32,14083.9,0.8533,1.02445,1.29401,0.70389,0.57486,0.66344,0.53329,0.69557,0.95231,1.25646,0.0006931,0.0006931,0.0006931
33,14522.1,0.8531,1.0161,1.29184,0.67481,0.5894,0.65657,0.52884,0.69729,0.96907,1.25022,0.0006832,0.0006832,0.0006832
34,14958.8,0.85125,1.01153,1.28996,0.6787,0.60579,0.66029,0.54096,0.70137,0.96595,1.2734,0.0006733,0.0006733,0.0006733
35,15396.3,0.8302,0.99043,1.28119,0.66699,0.58657,0.64704,0.52398,0.68914,0.95681,1.23817,0.0006634,0.0006634,0.0006634
36,15832.2,0.83958,1.00235,1.29053,0.67919,0.61054,0.67306,0.54596,0.70812,0.94116,1.25649,0.0006535,0.0006535,0.0006535
37,16263.4,0.84811,0.98103,1.29136,0.71212,0.61698,0.68435,0.55408,0.70069,0.86987,1.25607,0.0006436,0.0006436,0.0006436
38,16695.2,0.84049,0.98436,1.28442,0.68198,0.59617,0.6533,0.53235,0.69856,0.98267,1.25375,0.0006337,0.0006337,0.0006337
39,17127.8,0.84327,0.98154,1.2822,0.69582,0.62403,0.68335,0.55639,0.68987,0.84913,1.2461,0.0006238,0.0006238,0.0006238
40,17563.5,0.82209,0.95743,1.26799,0.66329,0.63515,0.66811,0.54511,0.69965,0.90225,1.26302,0.0006139,0.0006139,0.0006139
41,17997.1,0.84034,0.97704,1.28015,0.66913,0.616,0.67014,0.54807,0.68813,0.92496,1.2486,0.000604,0.000604,0.000604
42,18428.7,0.82255,0.9518,1.26734,0.68115,0.60428,0.66567,0.54529,0.6944,0.94384,1.25717,0.0005941,0.0005941,0.0005941
43,18864.7,0.81542,0.95136,1.2624,0.66063,0.61466,0.67019,0.54646,0.67726,0.92199,1.2378,0.0005842,0.0005842,0.0005842
44,19297.3,0.8197,0.96277,1.2698,0.69927,0.62477,0.67915,0.55891,0.67186,0.86025,1.23088,0.0005743,0.0005743,0.0005743
45,19730.1,0.83282,0.94704,1.27652,0.68461,0.62014,0.67261,0.55284,0.68571,0.93151,1.2433,0.0005644,0.0005644,0.0005644
46,20163.2,0.83126,0.95402,1.27572,0.69135,0.60678,0.65747,0.53891,0.69081,0.92636,1.24629,0.0005545,0.0005545,0.0005545
47,20598.7,0.82417,0.94343,1.27253,0.681,0.62265,0.65735,0.54003,0.68198,0.92979,1.23883,0.0005446,0.0005446,0.0005446
48,21033,0.82759,0.93295,1.26887,0.67137,0.62159,0.65998,0.54102,0.68614,0.9347,1.24332,0.0005347,0.0005347,0.0005347
49,21466,0.80908,0.93345,1.26198,0.66956,0.61795,0.67516,0.55387,0.67122,0.88303,1.23841,0.0005248,0.0005248,0.0005248
50,21901.6,0.81351,0.91657,1.26267,0.68997,0.6207,0.67037,0.54491,0.70412,0.8877,1.263,0.0005149,0.0005149,0.0005149
51,22337.9,0.80321,0.90444,1.2596,0.68158,0.62305,0.67235,0.55492,0.68178,0.88065,1.25035,0.000505,0.000505,0.000505
52,22773.9,0.80632,0.91346,1.26287,0.68787,0.62781,0.67293,0.55578,0.68673,0.85581,1.25077,0.0004951,0.0004951,0.0004951
53,23209.2,0.80778,0.90516,1.25965,0.70296,0.6237,0.67942,0.56273,0.67746,0.86051,1.23757,0.0004852,0.0004852,0.0004852
54,23645.4,0.79495,0.87796,1.25651,0.70177,0.59848,0.66361,0.54592,0.69556,0.92822,1.26242,0.0004753,0.0004753,0.0004753
55,24079.5,0.80238,0.88012,1.257,0.69753,0.61687,0.67455,0.55055,0.68871,0.86135,1.25571,0.0004654,0.0004654,0.0004654
56,24517,0.79616,0.88217,1.24891,0.69746,0.62209,0.67238,0.55485,0.66515,0.85199,1.22764,0.0004555,0.0004555,0.0004555
57,24951.6,0.7946,0.88616,1.2437,0.70736,0.62221,0.67721,0.55945,0.66958,0.88632,1.23492,0.0004456,0.0004456,0.0004456
58,25386.6,0.78761,0.87454,1.23944,0.70047,0.61044,0.67159,0.55408,0.67308,0.86312,1.23362,0.0004357,0.0004357,0.0004357
59,25818,0.77799,0.86228,1.24001,0.69947,0.61322,0.67342,0.55529,0.67463,0.88433,1.2401,0.0004258,0.0004258,0.0004258
60,26249.8,0.77893,0.85385,1.24378,0.70073,0.62078,0.6698,0.54924,0.68143,0.87126,1.24472,0.0004159,0.0004159,0.0004159
61,26680.3,0.79557,0.87394,1.25313,0.67414,0.63606,0.67193,0.5569,0.67316,0.88947,1.23941,0.000406,0.000406,0.000406
62,27110.8,0.7894,0.86099,1.24562,0.70073,0.62487,0.6619,0.54758,0.66275,0.88843,1.23219,0.0003961,0.0003961,0.0003961
63,27545,0.78025,0.8595,1.24014,0.70115,0.63691,0.68801,0.56854,0.67496,0.8351,1.24819,0.0003862,0.0003862,0.0003862
64,27975.7,0.78564,0.85349,1.24751,0.69788,0.62704,0.68812,0.56589,0.66639,0.82157,1.23394,0.0003763,0.0003763,0.0003763
65,28407.7,0.7725,0.83673,1.23592,0.6842,0.63741,0.67928,0.56052,0.66912,0.84872,1.23539,0.0003664,0.0003664,0.0003664
66,28840.8,0.76682,0.82917,1.22875,0.68831,0.64667,0.67345,0.55039,0.65911,0.83424,1.22578,0.0003565,0.0003565,0.0003565
