epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.672,1.06889,2.77466,1.49617,0.33492,0.42686,0.3694,0.23506,1.12124,2.24676,1.69301,0.000302564,0.000302564,0.000302564
2,996.39,1.11787,2.27769,1.5215,0.3162,0.38223,0.31897,0.19573,1.16427,2.13424,1.77281,0.000593574,0.000593574,0.000593574
3,1469.35,1.15219,2.13336,1.5373,0.37068,0.45362,0.418,0.28439,1.06509,1.90513,1.6926,0.000872585,0.000872585,0.000872585
4,1936.88,1.14349,2.02184,1.53743,0.38926,0.45734,0.41693,0.28206,1.04153,1.9213,1.63275,0.000855005,0.000855005,0.000855005
5,2408.71,1.11258,1.9355,1.51362,0.41656,0.49797,0.47022,0.30847,1.03349,1.68869,1.61685,0.000837007,0.000837007,0.000837007
6,2872.71,1.06617,1.85273,1.48047,0.5203,0.44758,0.51531,0.35353,0.95367,1.54615,1.52615,0.000819009,0.000819009,0.000819009
7,3342.73,1.05478,1.79038,1.45727,0.48075,0.52558,0.53918,0.38027,0.94609,1.48357,1.48629,0.000801011,0.000801011,0.000801011
8,3808.31,1.02345,1.72847,1.449,0.45856,0.47857,0.48913,0.33699,0.94453,1.54636,1.50912,0.000783013,0.000783013,0.000783013
9,4271.09,1.02343,1.68812,1.4428,0.53652,0.49525,0.53343,0.38243,0.91323,1.50257,1.53243,0.000765014,0.000765014,0.000765014
10,4731.17,1.00478,1.66037,1.43323,0.47916,0.53212,0.52351,0.38574,0.88435,1.5035,1.45659,0.000747016,0.000747016,0.000747016
11,5193.25,0.99514,1.62812,1.42508,0.57632,0.5057,0.55725,0.41708,0.83481,1.40591,1.3916,0.000729018,0.000729018,0.000729018
12,5653.1,0.99919,1.61466,1.42925,0.55072,0.50391,0.55033,0.39903,0.84671,1.48036,1.39956,0.00071102,0.00071102,0.00071102
13,6111.48,0.96548,1.5482,1.40051,0.54944,0.51069,0.56885,0.43363,0.82634,1.41415,1.38651,0.000693022,0.000693022,0.000693022
14,6571.67,0.97346,1.53459,1.4025,0.62803,0.51537,0.58662,0.45775,0.80744,1.31324,1.36213,0.000675023,0.000675023,0.000675023
15,7031.43,0.95833,1.49908,1.39085,0.57891,0.54712,0.59476,0.45847,0.78787,1.28878,1.32211,0.000657025,0.000657025,0.000657025
16,7491.39,0.94186,1.47678,1.37785,0.6081,0.53298,0.6085,0.46268,0.81263,1.27679,1.3814,0.000639027,0.000639027,0.000639027
17,7953.11,0.93518,1.44475,1.37765,0.61553,0.55476,0.62057,0.49004,0.77093,1.202,1.3112,0.000621029,0.000621029,0.000621029
18,8414.14,0.92927,1.43567,1.37231,0.58856,0.55132,0.61199,0.47918,0.79371,1.26092,1.35538,0.000603031,0.000603031,0.000603031
19,8876.92,0.92311,1.39328,1.37033,0.60132,0.53002,0.59986,0.47636,0.78283,1.22799,1.33167,0.000585032,0.000585032,0.000585032
20,9337.72,0.91474,1.38403,1.36712,0.61291,0.58867,0.63606,0.51301,0.73632,1.19547,1.27296,0.000567034,0.000567034,0.000567034
21,9799.57,0.91079,1.35431,1.3565,0.659,0.5341,0.6365,0.49681,0.76045,1.19627,1.3093,0.000549036,0.000549036,0.000549036
22,10261.5,0.89391,1.32155,1.34636,0.64661,0.56197,0.65319,0.52791,0.76586,1.14508,1.29857,0.000531038,0.000531038,0.000531038
23,10724.7,0.87874,1.31453,1.33839,0.65962,0.55975,0.63622,0.52243,0.73083,1.18573,1.26846,0.00051304,0.00051304,0.00051304
24,11189.9,0.88098,1.28942,1.33444,0.64421,0.59431,0.65936,0.54224,0.69405,1.09869,1.23549,0.000495041,0.000495041,0.000495041
25,11654.8,0.88151,1.28148,1.337,0.66914,0.59091,0.67002,0.55685,0.69726,1.05956,1.23708,0.000477043,0.000477043,0.000477043
26,12119,0.85945,1.2477,1.32608,0.66185,0.5963,0.6808,0.55439,0.70488,1.06056,1.241,0.000459045,0.000459045,0.000459045
27,12582.8,0.86531,1.24352,1.32416,0.65261,0.59226,0.66888,0.55778,0.67278,1.05853,1.21201,0.000441047,0.000441047,0.000441047
28,13047.2,0.85479,1.2195,1.31343,0.65291,0.61378,0.67337,0.55981,0.68749,1.06037,1.22223,0.000423049,0.000423049,0.000423049
29,13513.5,0.86292,1.22212,1.32831,0.63684,0.62748,0.6727,0.55561,0.71443,1.08136,1.25525,0.00040505,0.00040505,0.00040505
30,13976.9,0.84086,1.19463,1.31118,0.64173,0.61171,0.67823,0.56757,0.68379,1.03271,1.21108,0.000387052,0.000387052,0.000387052
31,14440,0.8392,1.17412,1.30768,0.66328,0.58974,0.66525,0.55385,0.67967,1.01279,1.21387,0.000369054,0.000369054,0.000369054
32,14905.7,0.83426,1.15361,1.30057,0.68593,0.638,0.69197,0.57293,0.69355,1.00172,1.2292,0.000351056,0.000351056,0.000351056
33,15368.8,0.82692,1.14902,1.29671,0.70252,0.59363,0.68404,0.57446,0.66807,0.99693,1.20954,0.000333058,0.000333058,0.000333058
34,15831.9,0.83792,1.13296,1.30458,0.66593,0.62141,0.68072,0.5661,0.68546,0.9866,1.21914,0.000315059,0.000315059,0.000315059
35,16296,0.81031,1.10681,1.28467,0.68319,0.63092,0.6989,0.58498,0.65856,0.95197,1.19437,0.000297061,0.000297061,0.000297061
36,16760.8,0.81459,1.10578,1.28988,0.7123,0.61514,0.69142,0.58039,0.67195,0.94871,1.20601,0.000279063,0.000279063,0.000279063
37,17227.2,0.80636,1.08653,1.28021,0.70466,0.63166,0.69894,0.58208,0.66544,0.94529,1.19538,0.000261065,0.000261065,0.000261065
38,17690.6,0.80506,1.08618,1.28224,0.69249,0.6511,0.70236,0.58403,0.66599,0.93308,1.20097,0.000243067,0.000243067,0.000243067
39,18155.8,0.80291,1.05498,1.27525,0.68448,0.60879,0.68861,0.57254,0.66728,0.97852,1.19849,0.000225068,0.000225068,0.000225068
40,18622.3,0.8034,1.05427,1.27878,0.67498,0.6493,0.70011,0.58619,0.64401,0.91726,1.17791,0.00020707,0.00020707,0.00020707
41,19142.3,0.73022,0.88979,1.30698,0.68961,0.6185,0.69994,0.5914,0.6327,0.96699,1.16932,0.000189072,0.000189072,0.000189072
42,19606.3,0.69674,0.8557,1.27034,0.67677,0.65761,0.70151,0.59497,0.63521,0.94511,1.16695,0.000171074,0.000171074,0.000171074
43,20069.2,0.69244,0.83856,1.2721,0.72079,0.61737,0.70585,0.59902,0.63077,0.91989,1.16154,0.000153076,0.000153076,0.000153076
44,20531.8,0.68093,0.80962,1.26303,0.69327,0.65454,0.7113,0.60541,0.63631,0.91238,1.16626,0.000135077,0.000135077,0.000135077
45,20996.2,0.67472,0.78015,1.25436,0.70524,0.65099,0.71362,0.60512,0.63978,0.89803,1.17696,0.000117079,0.000117079,0.000117079
46,21459.3,0.667,0.77378,1.24692,0.67877,0.67893,0.71648,0.61262,0.62859,0.89123,1.16466,9.9081e-05,9.9081e-05,9.9081e-05
47,21923,0.6579,0.76309,1.23922,0.70188,0.65847,0.71365,0.60828,0.62804,0.88675,1.15762,8.10828e-05,8.10828e-05,8.10828e-05
48,22387.7,0.65057,0.73842,1.23435,0.67796,0.67965,0.71513,0.61027,0.62392,0.89215,1.15648,6.30846e-05,6.30846e-05,6.30846e-05
49,22851.7,0.65049,0.73207,1.23466,0.67214,0.67773,0.71322,0.60993,0.61674,0.88461,1.15129,4.50864e-05,4.50864e-05,4.50864e-05
50,23315,0.6444,0.71705,1.23029,0.67853,0.67199,0.71842,0.61502,0.61846,0.88013,1.15353,2.70882e-05,2.70882e-05,2.70882e-05
