epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,924.744,0.80178,0.91163,1.25987,0.68098,0.65185,0.67464,0.5557,0.68302,0.86949,1.2336,0.000333081,0.000333081,0.000333081
2,1802.04,0.82235,0.94761,1.2715,0.67747,0.61462,0.66066,0.5387,0.70349,0.93227,1.26647,0.000653219,0.000653219,0.000653219
3,2670.5,0.84949,0.9922,1.28821,0.69495,0.58724,0.65113,0.53151,0.69777,0.95398,1.25769,0.000960157,0.000960157,0.000960157
4,3516.77,0.86646,1.02525,1.29652,0.6866,0.60307,0.64824,0.51923,0.72534,0.89963,1.28664,0.0009406,0.0009406,0.0009406
5,4366.54,0.8611,1.01233,1.29368,0.69344,0.59912,0.66764,0.52782,0.72392,0.91577,1.29067,0.0009208,0.0009208,0.0009208
6,5213.47,0.86236,1.01599,1.29282,0.69559,0.61504,0.67226,0.54265,0.70706,0.88879,1.26857,0.000901,0.000901,0.000901
7,6061.52,0.85736,1.00174,1.29348,0.68532,0.6004,0.65428,0.5338,0.70488,0.87818,1.26578,0.0008812,0.0008812,0.0008812
8,6909.39,0.85724,1.00017,1.28965,0.69235,0.62615,0.68758,0.55833,0.68504,0.85376,1.25519,0.0008614,0.0008614,0.0008614
9,7750.06,0.84994,0.98762,1.28702,0.70313,0.60231,0.66252,0.53743,0.69874,0.91299,1.26096,0.0008416,0.0008416,0.0008416
10,8609.01,0.85205,0.98822,1.29095,0.67625,0.6157,0.67195,0.55087,0.69413,0.90847,1.25887,0.0008218,0.0008218,0.0008218
11,9468.69,0.84205,0.96375,1.28449,0.68114,0.64236,0.67494,0.54907,0.7047,0.80846,1.28,0.000802,0.000802,0.000802
12,10329.6,0.85278,0.97098,1.2879,0.67041,0.61307,0.65734,0.53022,0.68886,0.95989,1.26388,0.0007822,0.0007822,0.0007822
13,11194,0.84788,0.96554,1.28185,0.67792,0.63431,0.66608,0.53714,0.71666,0.90308,1.27739,0.0007624,0.0007624,0.0007624
14,12056,0.83641,0.94655,1.27709,0.70002,0.61826,0.67942,0.552,0.7026,0.85508,1.25917,0.0007426,0.0007426,0.0007426
15,12920.1,0.82993,0.92369,1.2721,0.71822,0.61668,0.67057,0.5514,0.68595,0.87206,1.24569,0.0007228,0.0007228,0.0007228
16,13776.7,0.81584,0.91277,1.26435,0.69889,0.6324,0.68186,0.56261,0.67136,0.84133,1.23491,0.000703,0.000703,0.000703
17,14639,0.82092,0.91522,1.2665,0.71355,0.62071,0.68057,0.5588,0.68987,0.86928,1.25178,0.0006832,0.0006832,0.0006832
18,15500,0.81135,0.91219,1.26185,0.72509,0.63184,0.67853,0.55748,0.68316,0.84368,1.25132,0.0006634,0.0006634,0.0006634
19,16364.8,0.81527,0.90125,1.2631,0.70517,0.61602,0.67229,0.55158,0.68087,0.88988,1.24652,0.0006436,0.0006436,0.0006436
20,17225.8,0.81233,0.89508,1.25958,0.70462,0.62241,0.67493,0.55268,0.68504,0.84813,1.24581,0.0006238,0.0006238,0.0006238
21,18085.3,0.81649,0.89642,1.25962,0.67487,0.63183,0.66441,0.55023,0.66461,0.89934,1.22523,0.000604,0.000604,0.000604
22,18944,0.80127,0.87657,1.25409,0.75474,0.60602,0.69025,0.56693,0.66887,0.86294,1.22918,0.0005842,0.0005842,0.0005842
23,19805.6,0.80386,0.874,1.25591,0.7204,0.61247,0.67642,0.5497,0.6917,0.86722,1.25461,0.0005644,0.0005644,0.0005644
24,20666,0.79421,0.85586,1.24928,0.69981,0.63075,0.68109,0.5545,0.67746,0.84193,1.24308,0.0005446,0.0005446,0.0005446
25,21524.1,0.79544,0.85064,1.24417,0.69849,0.63505,0.67994,0.55937,0.67259,0.83246,1.22976,0.0005248,0.0005248,0.0005248
26,22384,0.78903,0.85072,1.24287,0.71982,0.61279,0.67908,0.55695,0.66567,0.84412,1.23561,0.000505,0.000505,0.000505
27,23234.1,0.78073,0.83414,1.23877,0.69894,0.61851,0.67867,0.55944,0.67781,0.86019,1.24764,0.0004852,0.0004852,0.0004852
28,24083.8,0.78739,0.8275,1.23929,0.69255,0.62747,0.66272,0.54959,0.67326,0.89012,1.23902,0.0004654,0.0004654,0.0004654
29,24931.7,0.77666,0.82832,1.23296,0.71767,0.63067,0.68695,0.56983,0.65906,0.83355,1.23009,0.0004456,0.0004456,0.0004456
30,25783.2,0.78169,0.828,1.23845,0.69855,0.64551,0.68349,0.56222,0.66413,0.84734,1.22393,0.0004258,0.0004258,0.0004258
31,26645.6,0.77713,0.80518,1.23218,0.70192,0.62642,0.68118,0.56977,0.64533,0.84184,1.21049,0.000406,0.000406,0.000406
32,27502.8,0.76662,0.79701,1.22715,0.68979,0.64966,0.6835,0.56951,0.65318,0.84605,1.22168,0.0003862,0.0003862,0.0003862
33,28336.5,0.76712,0.79515,1.22944,0.71776,0.6158,0.67965,0.56419,0.65819,0.87749,1.22257,0.0003664,0.0003664,0.0003664
34,29167.8,0.75919,0.78695,1.22073,0.72071,0.62879,0.68175,0.56435,0.65975,0.84603,1.2231,0.0003466,0.0003466,0.0003466
35,30001,0.75832,0.77692,1.21952,0.72296,0.61612,0.68295,0.57043,0.64785,0.85358,1.21905,0.0003268,0.0003268,0.0003268
36,30840.2,0.75664,0.76924,1.21853,0.7128,0.62233,0.67876,0.56611,0.65127,0.87195,1.21433,0.000307,0.000307,0.000307
37,31674.4,0.75442,0.76793,1.21977,0.7193,0.62126,0.67839,0.56615,0.64662,0.87009,1.21687,0.0002872,0.0002872,0.0002872
38,32510.9,0.75241,0.7557,1.21531,0.68986,0.62885,0.6744,0.56364,0.64559,0.8759,1.21781,0.0002674,0.0002674,0.0002674
39,33348.6,0.74589,0.76577,1.21311,0.67882,0.64075,0.68011,0.56831,0.65916,0.86523,1.22537,0.0002476,0.0002476,0.0002476
40,34185.1,0.74859,0.76018,1.21265,0.7251,0.61841,0.67862,0.56712,0.64517,0.86625,1.21225,0.0002278,0.0002278,0.0002278
41,35069.8,0.63515,0.58921,1.19138,0.70391,0.62374,0.67474,0.56371,0.6493,0.86448,1.21648,0.000208,0.000208,0.000208
42,35901.1,0.62317,0.56336,1.18399,0.69052,0.63591,0.68021,0.56338,0.66417,0.85677,1.2315,0.0001882,0.0001882,0.0001882
43,36739.5,0.61437,0.54321,1.17334,0.7002,0.63582,0.68081,0.56727,0.66213,0.86964,1.23087,0.0001684,0.0001684,0.0001684
44,37580.3,0.60509,0.53647,1.16879,0.69962,0.62429,0.67628,0.56234,0.65683,0.87599,1.22154,0.0001486,0.0001486,0.0001486
45,38433,0.60029,0.53049,1.16391,0.70785,0.62812,0.67787,0.56572,0.65309,0.86757,1.2233,0.0001288,0.0001288,0.0001288
46,39287.2,0.59944,0.5231,1.16396,0.71523,0.62504,0.67826,0.56528,0.65162,0.86401,1.2204,0.000109,0.000109,0.000109
47,40138.9,0.59493,0.51688,1.15501,0.70269,0.63631,0.68215,0.56976,0.6522,0.85586,1.2255,8.92e-05,8.92e-05,8.92e-05
48,40991.6,0.59231,0.51161,1.15688,0.71001,0.63093,0.6787,0.56997,0.65596,0.86768,1.22918,6.94e-05,6.94e-05,6.94e-05
49,41828.3,0.58598,0.50616,1.1514,0.70609,0.63084,0.67805,0.56928,0.65144,0.86382,1.22489,4.96e-05,4.96e-05,4.96e-05
50,42669,0.58341,0.5024,1.14692,0.69354,0.63878,0.68117,0.56977,0.65065,0.86738,1.22458,2.98e-05,2.98e-05,2.98e-05
